1,500.7383,214.5285,20.7842,42.5793,0.59947360
1,364.6679,206.8346,28.4571,42.4131,0.17887804
2,526.5925,223.2750,23.3693,51.2414,0.99129629
2,369.1171,214.4614,24.2791,42.4834,0.10031251
3,561.1306,235.3492,29.5716,52.4064,0.96691644
3,357.8030,213.4231,27.7159,49.0746,0.15975232
10,73.1615,205.2493,57.5526,46.4640,0.16122489
11,589.8107,212.0836,40.2536,121.2416,0.12864807
13,464.1545,215.2539,23.8947,41.9382,0.27961761
14,490.3000,217.7980,20.6075,43.6366,0.34006691
16,575.6884,231.0840,23.9070,50.8666,0.92688179
16,439.6849,217.2834,25.5660,51.5073,0.10930558
17,442.4482,203.5985,20.1420,40.9558,0.63911593
17,459.1174,204.7590,21.5843,39.9894,0.60913420
18,464.7610,217.0449,24.0544,40.3393,0.79230666
18,450.6848,216.6769,23.1433,43.0186,0.66276199
18,62.9717,207.7138,24.0393,46.0769,0.26856339
19,465.4138,217.8585,19.6821,43.2828,0.94451255
19,482.6898,214.3437,21.8486,46.8082,0.92059743
19,375.3515,219.2684,25.7206,48.4991,0.10124637
20,490.0424,221.6438,23.2426,48.5779,0.99129587
20,515.1472,217.7231,23.1259,51.4984,0.98306370
20,505.3324,220.8280,22.1372,50.2880,0.19892444
21,542.7984,215.0063,25.7566,62.7736,0.99910426
21,573.9410,215.5037,27.6966,60.7365,0.99881387
22,455.1455,213.3299,20.3575,48.1489,0.39712057
22,511.2291,224.2882,25.3819,47.9418,0.23410988
23,518.7196,210.3936,29.0352,68.1721,0.99874032
23,481.5356,207.0853,22.5178,57.9205,0.53192174
23,483.1279,202.5741,40.5272,77.1967,0.11290964
24,544.7860,212.9021,27.8018,63.8064,0.99119735
24,571.6380,210.0342,27.4332,66.1574,0.96548939
24,610.0039,190.8340,24.5694,61.7544,0.65978348
24,559.8235,209.4615,26.7739,67.6341,0.57764542
24,499.2593,219.9792,21.2733,44.9582,0.10677353
25,327.9569,215.0563,21.5551,33.3229,0.26569405
26,311.5853,216.5300,22.8268,36.5825,0.77483422
27,291.9869,220.6952,20.4492,39.6761,0.89246094
28,246.6714,211.5265,27.0383,54.1376,0.99772185
28,431.0923,205.1273,26.7444,58.6292,0.10806195
29,189.3002,213.3582,30.9515,67.1553,0.99792057
29,360.0415,217.6967,28.0739,40.3105,0.16506520
30,90.3947,219.9984,40.6326,80.6130,0.99625844
30,84.8157,215.8439,31.6057,64.8681,0.34671116
31,468.2571,170.7849,24.9964,62.8263,0.36339775
32,477.4359,179.9257,27.4342,64.7454,0.19626434
32,37.1834,216.1417,27.1572,50.4564,0.18694662
32,166.4885,209.9960,24.1185,36.9849,0.15083614
33,459.4208,212.2238,18.7546,39.4037,0.15233545
34,362.7977,204.6110,19.7343,36.7210,0.34384370
34,491.2060,216.3905,22.4624,42.7736,0.18406335
34,463.4283,206.7374,21.8555,48.1602,0.10088737
35,558.0180,221.2646,26.9073,54.7578,0.99721360
35,523.8743,212.8257,27.7054,65.4203,0.99059951
35,370.3110,207.8687,25.3544,42.1492,0.57990062
36,395.1144,209.8401,23.0060,47.5959,0.94423163
36,579.0695,200.5486,24.0945,59.9659,0.17998119
36,336.6916,215.4575,26.6084,43.5360,0.16828480
37,434.2325,214.7340,25.2253,52.5693,0.99907517
38,507.5814,227.3390,30.9750,76.9912,0.99935627
38,490.9666,223.4747,20.5959,37.6946,0.13297102
39,178.2897,205.1728,22.4407,37.4316,0.16398749
40,158.4800,211.7543,21.9756,44.7655,0.14927068
41,119.0492,215.6725,22.6306,44.5840,0.83046997
42,61.3971,212.6317,29.5891,56.7935,0.90072060
43,5.6129,220.8889,29.6373,66.5964,0.46592617
45,444.6805,206.0739,25.5352,50.3936,0.97607291
45,434.4998,208.4474,22.9247,49.3970,0.12526853
46,496.9089,215.0156,24.0037,51.8151,0.99776971
46,477.6721,214.2610,26.4149,63.4924,0.83253229
46,468.7510,229.1853,31.0726,75.0857,0.21268702
54,369.6672,205.9435,20.7834,41.0370,0.24689656
54,482.4800,212.4489,21.3130,40.9397,0.16989742
54,495.0028,208.5883,23.1624,47.8447,0.11600807
55,549.2414,216.1814,23.9286,52.6171,0.96982276
55,388.5657,215.6239,23.1094,42.9962,0.92517322
55,373.5312,209.6786,19.8383,41.1855,0.47180295
55,564.7596,217.3902,24.6159,49.8159,0.36556792
56,418.4149,220.9770,23.2892,48.6243,0.99349356
56,396.2698,217.9870,22.5217,52.0795,0.92533892
56,409.1828,221.5603,23.4419,49.8458,0.16040878
57,492.3505,229.3011,27.8707,69.3770,0.99692738
57,454.2599,222.0144,30.7726,79.2927,0.99664122
57,433.6520,209.1848,20.6448,48.5593,0.21493798
58,470.6997,209.3198,20.7672,44.8578,0.96525931
59,528.0664,209.2735,28.1357,59.7426,0.99780315
60,421.5331,193.0846,24.2001,52.0255,0.95843124
61,462.0189,194.3345,30.0580,69.4182,0.83838522
62,522.5007,198.9896,37.4024,81.6049,0.99856889
63,606.2556,158.4050,34.0729,107.5291,0.41364560
66,539.5199,192.6769,21.4894,47.3250,0.20616627
67,552.2325,183.1767,23.7438,55.7617,0.92600429
67,378.2021,212.4339,20.4080,43.7759,0.13017869
68,566.7974,185.8471,24.2714,54.8297,0.99290752
68,366.3795,213.0240,19.5617,45.6864,0.42212647
68,339.1886,222.1789,44.2021,110.1085,0.14327960
68,313.3994,215.7449,20.3638,41.2629,0.11799505
69,393.8846,213.1315,22.4983,50.0830,0.95825911
69,339.3859,211.5261,23.4515,52.0165,0.93544728
70,391.1869,210.2290,23.8114,54.6949,0.93605345
70,437.5415,202.1202,25.2864,64.9618,0.85232848
70,428.3107,214.6706,78.1329,192.9044,0.16294500
71,458.0136,216.1220,23.6620,55.1965,0.98720300
71,480.4565,211.2019,23.7997,55.9482,0.87753892
71,442.7343,221.3995,23.0287,48.7704,0.15487909
71,471.6380,217.4047,22.1915,50.6900,0.11437701
72,511.0856,211.8507,24.7538,60.3925,0.99281800
72,492.8845,220.8412,26.9133,54.7672,0.70314634
73,533.3173,215.8887,30.2597,62.8715,0.98309934
73,414.0306,222.5997,26.1277,47.6668,0.16734587
74,575.2283,233.1304,23.2235,53.5098,0.90386105
74,333.6282,226.0416,26.9567,65.1662,0.18973590
74,591.1541,224.5512,25.1013,56.5058,0.14512147
74,560.9454,233.5111,25.2005,54.7759,0.13725585
75,517.8267,227.6656,24.0970,56.7583,0.95494771
75,539.0977,235.5716,23.3231,51.3163,0.66009223
76,548.3744,218.8824,25.7550,66.5969,0.97970021
76,502.4156,224.5622,26.7671,54.8572,0.96031499
76,528.2825,224.8199,24.3123,62.5544,0.65171665
76,518.8931,225.2947,24.0098,53.5908,0.16041501
77,586.1393,223.5808,29.0924,82.0997,0.98422301
78,578.7291,229.3484,42.0724,102.1523,0.99826157
78,462.7370,223.0414,17.2587,37.2108,0.19337460
79,478.1268,218.9043,20.4600,39.8458,0.69519722
79,60.9354,202.7873,45.5481,58.3418,0.11490002
79,119.1348,205.2886,29.6476,46.0504,0.11176810
80,508.3289,212.7773,26.5840,50.6073,0.96370870
80,93.6518,204.5132,32.2994,43.6351,0.18504444
80,27.4934,208.5526,25.6788,47.6823,0.13244615
81,575.6536,215.5612,27.7695,61.3800,0.94653976
81,70.0603,193.8363,28.4187,56.6054,0.26571524
81,56.4553,195.4412,29.0586,57.4244,0.19306938
82,19.1815,181.1206,36.0572,70.7315,0.34652823
83,116.4830,196.8292,43.4977,44.3756,0.25983071
84,439.4680,237.1259,21.1441,39.5070,0.74288940
84,110.8488,242.1643,25.9995,44.0919,0.11824349
86,475.6333,206.7642,28.5418,69.6034,0.99118793
86,501.4699,207.1207,28.1088,66.3807,0.90730345
87,548.9796,207.4793,39.9782,91.4914,0.99945897
87,585.7001,207.3396,36.4656,87.2809,0.99908298
91,467.3636,220.2431,26.7409,55.7081,0.79966855
